subject,category,rows,time_seconds
viewer_profile,slow,5,0.211799
viewer_profile,slow,50,0.134684
viewer_profile,slow,100,0.130236
viewer_profile,slow,150,0.169099
viewer_profile,slow,200,0.170789
viewer_profile,slow,250,0.205500
viewer_profile,slow,300,0.208012
viewer_profile,slow,350,0.171312
viewer_profile,slow,400,0.136671
viewer_profile,slow,450,0.136819
favorite_movies,slow,5,0.420552
favorite_movies,slow,50,0.253108
favorite_movies,slow,100,0.186604
favorite_movies,slow,150,0.269718
favorite_movies,slow,200,0.188812
favorite_movies,slow,250,0.256355
favorite_movies,slow,300,0.329794
favorite_movies,slow,350,0.198100
favorite_movies,slow,400,0.578752
favorite_movies,slow,450,0.389885
